news,category
"Альметьевской городской прокуратурой 01.06.2021 года поддержано государственное обвинение в отношении 46-летнего местного жителя, совершившего убийство своего знакомого ",social
Альметьевской городской прокуратурой выявлены нарушения трудового законодательства руководством АНО «Санаторий-профилакторий «Голубое озеро» ,social
Альметьевской городской прокуратурой выявлены нарушения трудового законодательства руководством АНО «Санаторий-профилакторий «Голубое озеро» ,social
"В Альметьевске вынесен приговор в отношении 37-ми летнего жителя города, за незаконное приобретение, хранение без цели сбыта наркотических средств, совершенное в крупном размере ",social
"В ходе проведенной прокуратурой города проверки, выявлено нарушение трудового законодательства на одном из предприятий ",social
18 июня состоится занятие Школы правовых знаний при Уполномоченном по правам человека в Республике Татарстан для родителей (законных представителей) детей-инвалидов,social
В Альметьевске сбили велосипедиста,dtp
В Альметьевск около панорамы произошло серьезное ДТП,dtp
В Альметьевске с юбилеем поздравили ветерана Великой Отечественной войны Шагитова Мисхата Фасиховича,social
В альметьевск столкнулись два автомобиля,dtp
Сильное ДТП произошло в Альметьевске,dtp
"Совместный прием граждан Уполномоченным по правам человека в Республике Татарстан и Министром труда, занятости и социальной защиты Республики Татарстан",social
В Республике Татарстан участились случаи дорожно-транспортных происшествий с участием велосипедистов,social
Новые выплаты по материнскому капиталу,economic
Президент России утвердил новые доплаты семьям школьников,economic
Повышены пенсии,economic
Повышение пенсионных выплат,economic
Произошла индексация накопительной части пенсии,economic
В Альметьевске пройдут соревнования по мини-футболу,sport
Российским водителям отменили обязательный техосмотр для получения ОСАГО,social
В Альметьевском районе легковушка с пьяным водителем врезалась в КАМАЗ и опрокинулась в кювет,dtp
Тимур Нагуманов поблагодарил всех организаторов Сабантуя,social
"В Альметьевском районе мошенник обманул женщину, решившую купить водительские «права»",social
В Альметьевском районе произошло ДТП,dtp
В некоторых домах Альметьевска планируется временное отключение воды,social
В Республике Татарстан план по вводу жилья выполнен на 46%,social
На ул.Герцена установили длинные лежачие полицейские!,social
В Альметьевске прошли соревнования по триатлону,sport
Жительница Татарстана выращивает в теплице у дома бананы и апельсины,social
Более 300 спортсменов участвовали во Всероссийских соревнованиях по триатлону в Альметьевске,sport
"Песни о Родине, мастер-классы и слова любви о стране: как прошел День России в Альметьевске",social
В Альметьевске выступит Стас Михайлов,culture
В Альметьевске с 8-го по 10 июля пройдет фестиваль,culture
В Альметьвске в этом году построят детские сады в рамках национальных проектов,social
За сутки 30 татарстанцев заразились коронавирусом,social
В одну из квартир Альметьевска залетела летучая мышь,social
"«Кому-то праздник, а кому-то мусор убирать»: альметьевцы возмутились, как намусорили люди в Сабантуй",social
Парад работников сельского хозяйства и праздничные гуляния: как в Альметьевске отметили Сабантуй,culture
В Альметьевске водитель совершил наезд на ребёнка и скрылся с места ДТП,dtp
"В Альметьевске осудили мужчину, убившего знакомого из ревности",social
В Москве среди привитых с 14 июня до 11 июля разыграют автомобил,social
В Татарстане ухудшится погода,social
"В Альметьевске организуют дни, когда пенсионеры могут привиться от ковида, не посещая поликлинику",social
"Во время чествования работников сельского хозяйства некоторые лошади оставили не самые приятные ""подарки""",social
В Альметьевском районе нет новых случаев коронавируса,social
Компания «Татнефть» подарила альметьевской средней школе № 6 новое здание мастерских,social
На соревнованиях по триатлону в Альметьевске собрались 360 спортсменов,sport
"Школьники в Альметьевске создали соцрекламу, которая призывает к соблюдению ПДД",social
Автолюбитель из Альметьевска рассказал о путешествии на Алтай,social
В Альметьевске прошли соревнования по триатлону,sport
Чествование работников сельского хозяйства Альметьевского района,soicla
В Альметьевской картинной галереt состоялась выставка картин художника Ильи Яковлева,culture
Кубок Континента у альметьевца,sport
В Альметьевске в День России узаконили свои отношения 12 пар,social
В Альметьевском районе после отравления угарным газом госпитализировали мужчину в коме,social
В Альметьевске прошли соревнования по триатлону.,social
В Альметьевском триатлоне принял участие экс-глава города Альметьевска - Айрат Хайруллин,sport
Рустам Минниханов принял участие в открытии памятника воинам-интернационалистам в Казани,social
В Татарстане медики выявили 31 новый случай коронавируса,social
В Альметьевске прошло Первенство России по триатлону среди юниоров и юниорок,sport
Альметьевцы отметили День России,social
В селе Миннибаево готовятся к национальному празднику Сабантуй,culture
Рустам Минниханов поздравил татарстанцев с Сабантуем,social
В Альметьевске ищут хозяев украденных велосипедов,social
